DocID,Title,Authors,Category
000014,The 1990 CIA World Factbook,United States. Central Intelligence Agency,G
000017,The Book of Mormon,"Smith, Joseph, Jr., 1805-1844; Church of Jesus Christ of Latter-day Saints",B
000025,The 1991 CIA World Factbook,United States. Central Intelligence Agency,G
000029,The 1990 United States Census,United States. Bureau of the Census,H
000037,The 1990 United States Census [2nd],United States. Bureau of the Census,H
000048,The 1992 CIA World Factbook,United States. Central Intelligence Agency,G
000059,Discourse on the Method of Rightly Conducting One's Reason and of Seeking Truth in the Sciences,"Descartes, René, 1596-1650; Veitch, John, 1829-1894 [Translator]",B
000061,The Communist Manifesto,"Marx, Karl, 1818-1883; Engels, Friedrich, 1820-1895",H
000087,The 1993 CIA World Factbook,United States. Central Intelligence Agency,G
000088,Price/Cost Indexes from 1875 to 1989; Estimated to 2010,"Hart, Michael, 1947-2011",H
000101,The Hacker Crackdown: Law and Disorder on the Electronic Frontier,"Sterling, Bruce, 1954-",H
000115,United States Census Figures Back to 1630,United States. Bureau of the Census,H
000124,"Deuterocanonical Books of the Bible
Apocrypha",Anonymous,B
000130,Orthodoxy,"Chesterton, G. K. (Gilbert Keith), 1874-1936",B
000150,The Republic,"Plato, 428? BCE-348? BCE; Jowett, Benjamin, 1817-1893 [Translator]",J
000162,Take Me for a Ride: Coming of Age in a Destructive Cult,"Laxer, Mark E.",B
000180,The 1994 CIA World Factbook,United States. Central Intelligence Agency,G
000216,"The Tao Teh King, or the Tao and its Characteristics","Laozi; Legge, James, 1815-1897 [Translator]",B
000251,1995 United States Congressional Address Book,United States,J
000253,The Universal Copyright Convention (1988),Coalition for Networked Information,J
000272,An Open Letter on Translating,"Luther, Martin, 1483-1546; Mann, Gary [Translator]",B
000273,The Smalcald Articles,"Luther, Martin, 1483-1546; Bente, F. (Friedrich), 1858-1930 [Translator]; Dau, W. H. T. (William Herman Theodore), 1864-1944 [Translator]",B
000274,Disputation of Doctor Martin Luther on the Power and Efficacy of Indulgences,"Luther, Martin, 1483-1546",B
000275,"The Augsburg Confession
The confession of faith, which was submitted to His Imperial Majesty Charles V at the diet of Augsburg in the year 1530","Melanchthon, Philipp, 1497-1560",B
000281,Father Damien: An Open Letter to the Reverend Dr. Hyde of Honolulu,"Stevenson, Robert Louis, 1850-1894",B
000354,The Story of a Pioneer,"Shaw, Anna Howard, 1847-1919; Jordan, Elizabeth Garver, 1867-1947",J
000360,What is Property? An Inquiry into the Principle of Right and of Government,"Proudhon, P.-J. (Pierre-Joseph), 1809-1865",H
000368,Acres of Diamonds: Our Every-day Opportunities,"Conwell, Russell H., 1843-1925; Shackleton, Robert, 1860-1923 [Contributor]",B
000398,The First Book of Adam and Eve,"Platt, Rutherford Hayes, 1894-1975",B
000418,A Treatise on Good Works,"Luther, Martin, 1483-1546; Reu, Johann Michael, 1869-1943 [Translator]",B
000435,"Miracle Mongers and Their Methods
A Complete Exposé of the Modus Operandi of Fire Eaters, Heat Resisters, Poison Eaters, Venomous Reptile Defiers, Sword Swallowers, Human Ostriches, Strong Men, Etc.","Houdini, Harry, 1874-1926",G
000439,The Vital Message,"Doyle, Arthur Conan, 1859-1930",B
000444,"System of Economical Contradictions; Or, The Philosophy of Misery","Proudhon, P.-J. (Pierre-Joseph), 1809-1865",H
000445,The crowd,"Le Bon, Gustave, 1841-1931",H
000446,A Book of Remarkable Criminals,"Irving, H. B. (Henry Brodribb), 1870-1919",H
000449,"Pathology of Lying, Accusation, and Swindling: A Study in Forensic Psychology","Healy, William, 1869-1963; Healy, Mary Tenney",B
000455,The University of Hard Knocks,"Parlette, Ralph Albert, 1870-1930",B
000475,"In Darkest England, and the Way Out","Booth, William, 1829-1912",H
000477,Criminal Sociology,"Ferri, Enrico, 1856-1929",H
000488,She Stands Accused,"MacClure, Victor, 1887-1963",H
