DocID,Category,Chunk,Predicted_Category
051086,Philosophy,"ljurisdiction does not extend into those regions,--these speculatorsset up as authorities on their own account, and, on the strength oftheir own expectation, propound the broad and sweeping dogma thatnothing in the Universe exists which is not fully expressible interms of matter and motion. And then, having accustomed themselves tothe sound of some such collocation of words, they call upon humanityto shut its eyes to any facts of common experience which render suchan assertion ridiculous.The ene",Philosophy
026942,Philosophy,"from the meanness or vileness of the non-aestheticsuggestion. We do not remember the mercenary and libertineallegory embodied in Correggio's _Danae,_ or else we reinterpretthat sorry piece of mythology in terms of cosmic occurrences, of theEarth's wealth increased by the fecundating sky. Similarly it is acommon observation that while _unmusical_ Bayreuth-goers oftenattribute demoralising effects to some of Wagner's music, thegenuinely musical listeners are unaware, and usually incredulous, ofany",Philosophy
052039,Philosophy,"ets of his heart. But even this is not enough. Whenthe novice is admitted, he is led to believe that his confessions aresacred, and not liable to be reported, a point on which the RomanCatholic mind is naturally particularly sensitive. But besides theconfession, the Jesuit is required periodically to go through a processtermed the manifestation of his conscience, in which every wish, thought,fear, habit, pleasure, object of interest, is to be laid open to hisSuperior. The object of this manifest",Philosophy
036582,Philosophy,"n reading, listen, and try to understand them. When you arelearning your lesson, keep your eyes fixed upon your book, and take asmuch pains as you can, that you may repeat it quite perfectly.3. _Be silent in your Class._ Do not whisper and talk with those whosit next you; you have much to learn, and little time for the purpose;make it not less by your own carelessness.4. _Be thankful to your Teachers._ They seek your welfare; you hear thempray for you, and they often do so when you are not with ",Social Sciences
045604,Philosophy,"writings anddoctrine, and consequently became an object of hostility to the proudpatriarch. On the death of Theophilus, S. Cyril, his nephew, succeededhim, and, as has already been related in the life of that saint,inherited his uncle's prejudices against the great Chrysostom, andafter his death opposed the insertion of his name in the diptychs, orlist of persons who were commemorated at the Holy Eucharist. But bythe influence of S. Isidore, who earnestly strove to bring councils ofpeace before ",Religion
036743,Philosophy,"bernacle.[Illustration]Korah, Dathan, and Abiram, and other chiefs of the congregation,envying the authority of Moses and Aaron, formed a party against them.They haughtily upbraided Moses and Aaron as taking too much upon them.Moses replied that they were too arrogant to find fault with what Godhad ordered, and that the next day the Lord would show whom heallowed to officiate in the high priesthood. He advised Korah with hisassociates to appear with their censers full of incense to stand thetria",Philosophy
011198,Philosophy," bath only inbathing dress."" ""Nakedness is forbidden to us."" There is a story ofthe prophet, to the effect that he was at work unclothed when a voicefrom heaven ordered him to cover his nakedness! * * * * *We thus see, that an astonishing similarity is apparent in thetreatment even of questions where divergency is fundamental.Divergency, it is true, existed, but pales before the general affinityof the two theories of life. Our judgment upon Christian medievalismin this respect can be applied dir",Social Sciences
008843,Philosophy,"d called us with a holy call, not in accordance with our desserts, but in accordance with His own purpose and the free grace which He bestowed on us in Christ Jesus before the commencement of the Ages,001:010 but which has now been plainly revealed through the Appearing of our Saviour, Christ Jesus. He has put an end to death and has brought Life and Immortality to light through the Good News,001:011 of which I have been appointed a preacher, Apostle and teacher, to the Gentiles.001:012 That ind",Philosophy
027270,Philosophy,"f the Moslem, government.This religion was carried into India in 711 A. D. at the point of thesword; and its establishment and success for centuries was owing to thesame method. This community is not evenly distributed all over India; for,more than one-third of it is found in Bengal alone, where it furnishes themajority of the population. More than one-half of the adherents of thisfaith in India are converts from Hinduism. These were gathered in formercenturies when the Mohammedan power was domi",Social Sciences
019065,Geography,"actise against, the new men should work on eachother.Water-polo holds are a good deal a matter of individuality; each manbuilds up a set of his own, but one tackle and one break will serve as afoundation for all.To learn the tackle, give your coworker the ball and let him come towardyou. When he's a couple of feet off, take a good, hard stroke, liftyourself as high out of the water as you can throw your arm around hisneck, and pulling his head down until it is jammed hard against yourchest, wind",Social Sciences
005619,Social Sciences,"247 6,041 1678 20,678 12,601 1,401 1,045 10,681 9,977 6,568 6,033 1674 21,201 11,851 2,106 942 11,000 10,196 6,113 5,738 1672 18,230 12,563 1,436 987 9,560 8,070 6,443 6,120 1668 17,278 11,633 1,699 1,026 9,111 8,167 6,073 5,566 120,170 73,683 9,865 6,157 62,545 57,030 37,992 35,697 The medium or 6th part whereof is part whereof is 20,028 12,280 1,644 1,026 10,424 9,505 6,332 5,949TABLE B.—DUBLIN. A.D. Burials. Births. In Ternaries of Years 1666 1,480 952 4,821 2,979 1667 1,642 1,001 1668 1,699 ",Social Sciences
009390,Social Sciences,"gpeople to travel with, or else keep them at home pending such times asthey can be accompanied by you or trusted friends.A letter from a wealthy pioneer with whom I had had several interviewsrespecting land for a training school and home now sent me word that hehad decided to donate six acres for that purpose, provided I shouldsecure pledges to the amount of thirty thousand dollars for buildingpurposes. The undertaking looked stupendous; nevertheless, what was tohinder if this were the plan of G",Social Sciences
041291,Politics,"ir people, but the efforts have so far met with littlesuccess.Failure has been attributed to conditions found in the community andto the altered circumstances of family life in America. It has beendifficult to find suitable meeting places, as Croatian people have nohalls of their own and do not feel at home in the neighborhoodrecreation center. Any kind of recreational activity planned is, ofnecessity, so different from that to which these men and women areaccustomed, that it does not interest t",Social Sciences
020233,Philosophy,"ly destitute of proof, anassumption which is not necessarily involved even in the proposedextension of the analogy: for all that the analogy, however extended,can possibly require is a cause adequate to the production of designingminds, and that cause may be a self-existent, underived, and eternalBeing. Let the analogy be extended ever so far, it must reach a point atwhich we are compelled, by the fundamental law of _causality_, to riseto a self-existent Being, exempt from all conditions of time",Philosophy
045422,Philosophy,"l ideas which theysupposed to be found in the thought of Jesus.In Weiss there are none of these devious paths: ""behold the land liesbefore thee.""His ""Preaching of Jesus concerning the Kingdom of God,""(162) published in1892, has, on its own lines, an importance equal to that of Strauss'sfirst Life of Jesus. He lays down the third great alternative which thestudy of the life of Jesus had to meet. The first was laid down byStrauss: _either_ purely historical _or_ purely supernatural. The secondhad ",Philosophy
043625,Social Sciences," to catch in such waters. But one darter after another was captured, till I had enough to form some opinion of those that had escaped. These we discussed till bitter feeling, like biting hunger, became appeased. Both went away declaring either margin of the pool good enough, and each urging on the other the first choice.""One deficiency which Colton had to supply was the absence of apenitentiary system. To quote: ""There are no workhouses here, no buildings adapted to the purpose, no tools and no ",Social Sciences
