DocID,Category,Chunk,Predicted_Category
005048,Politics,"'s be clear; a vote against McCain-Feingold is a vote for softmoney and for the status quo. I ask you to strengthen our democracy andpass campaign finance reform this year.But at least equally important, we have to address the real reason for theexplosion in campaign costs: the high cost of media advertising. I will--for the folks watching at home, those were the groans of pain in theaudience--I will formally request that the Federal CommunicationsCommission act to provide free or reduced-cost t",Politics
025126,Philosophy," him, for the glory of Heaven, but heescaped. However, she remembered his appearance, and was able todescribe him to her followers.""He is no other,"" she said, ""than Father John of Cronstadt who,although a great worker of miracles, is in fact an evil genius in theservice of Satan.""And all her hearers rejoiced, and paid homage to Helen's clairvoyantpowers. Their enthusiastic adulation, together with the conviction ofthe love Christ bore her, threw the good sister into a frenzy ofintense excitement",Social Sciences
039752,Geography,"ehind MountHillery—took the tackling off the horse, turned the beast out in thefield for the night, and got to his bed.Next morning, early, he was standing at the road-side, thinking of allthat had happened the night before, when he saw Dan Madden, that wasMr. Wrixon’s huntsman, coming on the master’s best horse down thehill, as hard as ever he went at the tail of the hounds. Mick’s mindinstantly misgave him that all was not right, so he stood out in thevery middle of the road, and caught hold o",Social Sciences
022174,Philosophy,"lville the heaviest blow his affectionever received--the tidings of his nephew's death. James Melville diedwell-nigh broken-hearted; he had not been allowed to return to his owncountry and resume his charge of his poor seafaring folk, nor to join inFrance the exile who was so endeared to him. On his deathbed, and withina few hours of the end, when one who was beside him asked if he had nodesire to recover, he replied, 'No, not for twenty worlds.' His friendsasked him to give them some sign that ",Politics
019297,Philosophy," that these centres, as indicated in yourletter, seem to offer at present. He welcomes the recommendation made tothis effect at the last Annual Convention and would urge the newly electedN.S.A. to give this task its continued and fullest attention. Howeverstupendous the plan now confronting your Assembly may be, you shouldresolutely and relentlessly endeavour to carry it through, ever confidentin the promised assistance and unfailing guidance of Baha'u'llah.To you and your distinguished fellow-m",Philosophy
045711,Social Sciences,"rly every _healthy_girl, are in most books ignored.My chapters may appear superfluous to those who view the long listof books purporting to give advice to the young wife and expectantmother on how to treat herself and the coming child. I have read themajority of those books, and I write this one because of their failureto touch on the profoundest essentials in a way which will truly helpthe healthy and sensitive type of young people. The healthy, normaland happy in my mind's vision are the stand",Social Sciences
035791,Philosophy,". 57 seq. Teeth, child born with 39 Teratology 77 =tertu= (omen) 13 Testicles, missing 35 Thales 72 Thigh, missing 35 Thompson, R. C. 11 Thrace, monster of 75 Thulin, Carl 54 seq. =tigri ili= (dwarf) 39 Toes, six on foot 35 Torches in heaven 51 Totemism 70. 79 Transition periods 5 Tritons 61 Turtle, child with turtle's hands and feet 35 seq. Twins 28 seq. -- united at the back 74 -- "" "" "" breast 76 -- "" "" "" umbilicum 76 Ungnad, Arthur 61 Urumus (Babylonian ruler), omen 10 Valerius Maximus 52. 56",Geography
010126,Social Sciences,"e girl smiled, and shuffled away into a dingylittle room at the rear of the cottage. ""Faith, sir,"" continued thewoman, beating time with her hand in the air; ""faith, sir, it is notaisy for a poor woman to manage unbiddable childer."" ""What part ofIreland do you come from, Mrs K_?"" said I. She hesitated a second ortwo, and played with her chin; then, blushing slightly, she repliedin a subdued tone, ""County Galway, sir."" ""Well,"" said I, ""you've noneed to be ashamed of that."" The woman seemed reassu",Social Sciences
014554,Philosophy,ostles . . . . . . . . . . . . . . . . . . The Apostles' CreedApostate . . . . . . . . . . . . . . . . . . . . . . . . . . 323Apostolicity of the Church . . . . . . . . . . . . . . . . . 132Apparitions of Our Lord . . . . . . . . . . . . . . . . . . 90Archbishop . . . . . . . . . . . . . . . . . . . . . . . . . 281Ark of Noe . . . . . . . . . . . . . . . . . . . . . . . . . 72Ark of the Covenant . . . . . . . . . . . . . . . . . . . . 81Ascension of Our Lord . . . . . . . . . . . . . . . . . . .,Philosophy
035830,Geography,"5.1%, ARF (Dashnak) 13.2%, Rule of Law 7.1%, Heritage Party 6%, other 24.7%; seats by party - HHK 64, Prosperous Armenia 18, ARF (Dashnak) 16, Rule of Law 9, Heritage Party 7, independent 17Aruba unicameral Legislature or Staten (21 seats; members elected by direct popular vote to serve four-year terms) elections: last held on 25 September 2009 (next to be held in 2013) election results: percent of vote by party - AVP 48%, MEP 35.9%, PDR 5.7%; seats by party - AVP 12, MEP 8, PDR 1Australia bicam",Politics
