DocID,Category,Chunk,Predicted
035628,Philosophy,"A PHILOSOPHICAL DICTIONARYVOLUME VIIIByVOLTAIREEDITION DE LA PACIFICATIONTHE WORKS OF VOLTAIREA CONTEMPORARY VERSION With Notes by Tobias Smollett, Revised and Modernized New Translations by William F. Fleming, and an Introduction by Oliver H. G. LeighA CRITIQUE AND BIOGRAPHYBYTHE RT. HON. JOHN MORLEYFORTY-THREE VOLUMES One hundred and sixty-eight designs, comprising reproductions of rare old engravings, steel plates, photogravures, and curious fac-similesVOLUME XIIE. R.",Philosophy
029010,Philosophy,"Produced by Al Haines[Transcriber's note: refer to the more detailed notes at the end ofthis etext for more information.]Religions Ancient and Modern[Frontispiece: EGYPTIAN GODS. PETRIE COLLECTION]THE RELIGION OFANCIENT EGYPTByW. M. FLINDERS PETRIE D. C. L., LL. D., LIT. D., PH. D., T. R. S., F. B. A., F. S. A. SCOT. EDWARDS PROFESSOR OF EGYPTOLOGY, UNIVERSITY COLLEGE, LONDONLONDONARCHIBALD CONSTABLE & CO LTD16 JAMES STREET HAYMARKET1906Edinburgh: T. and A.",Philosophy
017897,Philosophy,"PRIMA SECUNDAE)***E-text prepared by Sandra K. Perry, with corrections and supplementationby David McClamrockSUMMA THEOLOGICAPART I-II (""Prima Secundae"")Translated byFathers of the English Dominican ProvinceBENZIGER BROTHERSNEW YORK________________________DEDICATIONTo the Blessed VirginMary ImmaculateSeat of Wisdom________________________NOTE TO THIS ELECTRONIC EDITIONThe text of this electronic edition was originally produced by SandraK.",Philosophy
017166,Philosophy,"Produced by Janet Blenkinship, Curtis Weyant and the OnlineDistributed Proofreading Team at https://www.pgdp.net[Illustration: ST JOHN_Domenichino Frontispiece_]A Life of St. JohnFor the YoungBYGEORGE LUDINGTON WEEDAUTHOR OF ""A LIFE OF CHRIST FOR THE YOUNG,"" ""A LIFE OF ST. PAUL FORTHE YOUNG,"" ""GREAT TRUTHS SIMPLY TOLD,"" ETC., ETC. PHILADELPHIAGEORGE W. JACOBS & CO103-105 SOUTH FIFTEENTH STREETCopyright, 1900BY GEORGE W. JACOBS & CO_PREFATORY NOTE_The recorded incidents of the Life of St.",Philosophy
018578,Philosophy,"Produced by Edmund DejowskiOUR UNITARIAN GOSPEL B M. J. SAVAGE ""The good news of the blessed God""BOSTON GEO. II. Ews, 141 FRANKLIN STREET 1898. DedicationTO THOSE WHO BELIEVE THAT THE MESSAGE OF GOD TO HIS CHILDREN MUST BEONE OF LIFE AND HOPE INSTEAD OF A THEOLOGY WHICH TEACHES DEATH ANDDESPAIR. NOTE. The sermons which make up this volume were spoken in the Churchof the Messiah during the season of 1897-98.",Philosophy
045711,Social Sciences,"Produced by Henry Flower and the Online DistributedProofreading Team at http://www.pgdp.net (This file wasproduced from images generously made available by TheInternet Archive/Canadian Libraries)RADIANT MOTHERHOOD_BOOKS BY THE SAME AUTHOR_SCIENTIFIC. The Cretaceous Flora, Part I. Illustrated. Published by the Trustees of the British Museum. 12s. net. The Cretaceous Flora, Part II. Illustrated. Published by the Trustees of the British Museum. £1 1s. net. Ancient Plants. Illustrated.",Social Sciences
041148,Geography,"Produced by Shaun Pinder, Stephen Blundell and the OnlineDistributed Proofreading Team at http://www.pgdp.net (Thisfile was produced from images generously made availableby The Internet Archive)Transcriber's Note: Minor spelling and typographical errors have been corrected without note. Archaic, dialect and variant spellings remain as printed. Greek text has been transliterated and is shown between {braces}.",Geography
022295,Philosophy,"Produced by Charlene Taylor, Ted Garvin, David King, andthe Online Distributed Proofreading Team athttp://www.pgdp.netON PRAYER AND THE CONTEMPLATIVE LIFEBYS. THOMAS AQUINASBY THEVERY REV. HUGH POPE, O. P., S. T. M. AUTHOR OF ""THE CATHOLIC STUDENT'S 'AIDS' TO THE BIBLE,"" ETC. WITH A PREFACE BYVERY REV. VINCENT McNABB, O. P., S. T. L. R. & T. WASHBOURNE, LTD. PATERNOSTER ROW, LONDONAND AT MANCHESTER, BIRMINGHAM, AND GLASGOW1914 _All rights reserved_Nihil Obstat. J. P. ARENDZEN, D.",Philosophy
018930,Philosophy,"Produced by John Bechard (JaBBechard@aol.com)HISTORYOFTHE MISSIONSOF THEAMERICAN BOARD OF COMMISSIONERS FOR FOREIGN MISSIONSTO THEORIENTAL CHURCHES. BY RUFUS ANDERSON, D. D., LL. D.,LATE FOREIGN SECRETARY OF THE BOARD. IN TWO VOLUMES. VOL. I. BOSTON:CONGREGATIONAL PUBLISHING SOCIETY.1872. Entered according to Act of Congress, in the year 1872, byTHE AMERICAN BOARD OF COMMISSIONERS FOR FOREIGN MISSIONS,in the Office of the Librarian of Congress, at Washington.",Philosophy
046423,Social Sciences,,Social Sciences
